"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","symbol","entrez"
"ENSG00000106714",37047.9584232464,0.631046751677222,0.24548090280561,2.57065516895598,0.0101506342164827,0.157613556884619,"UP","CNTNAP3","79937"
"ENSG00000203546",39045.7402951281,0.474564168016647,0.184630584684904,2.57034428410955,0.0101597489923901,0.157613556884619,"UP",NA,NA
"ENSG00000216906",2046.79291492587,0.960008688679463,0.373498836679659,2.57031239297497,0.0101606844147048,0.157613556884619,"UP",NA,NA
"ENSG00000256448",20312.7783135301,0.856184130841488,0.333133740649984,2.57009130678559,0.0101671713649671,0.157613556884619,"UP",NA,NA
"ENSG00000125753",99947.4690028603,-0.484575803400804,0.188557394822498,-2.56991142594523,0.0101724520180342,0.157613556884619,"DOWN","VASP","7408"
"ENSG00000048140",266147.067995467,-0.344560770483893,0.134104136122504,-2.56935229923957,0.0101888815571133,0.157765673481038,"DOWN","TSPAN17","26262"
"ENSG00000158186",1311108.41694306,-0.474559954056095,0.184732257522837,-2.56890680826238,0.0102019888968058,0.157781867445173,"DOWN","MRAS","22808"
"ENSG00000185049",224440.219227216,-0.275218560221759,0.107137346013548,-2.56883869595722,0.0102039942354164,0.157781867445173,"DOWN","NELFA","7469"
"ENSG00000071655",853574.830428855,-0.361620756555965,0.140786797654834,-2.56857008313058,0.0102119060612438,0.157781867445173,"DOWN","MBD3","53615"
"ENSG00000272635",6953.59092946417,0.456840927780377,0.177868580916176,2.5684183537489,0.0102163775702105,0.157781867445173,"UP",NA,NA
"ENSG00000227354",13755.1321768238,0.487088550258452,0.189667222095569,2.56812191836194,0.0102251186366236,0.15781471913873,"UP","RBM26-AS1","100505538"
"ENSG00000005108",64622.4294685759,0.578584825480786,0.22533459305978,2.56766978218605,0.0102384637136483,0.157918540834752,"UP","THSD7A","221981"
"ENSG00000165632",102631.736379762,-0.293378524931188,0.114270331157743,-2.5674076723047,0.0102462071449941,0.157935884164538,"DOWN","TAF3","83860"
"ENSG00000266129",7181.48208442142,1.05631256360732,0.411475366073389,2.56713439175583,0.0102542861385741,0.157958374146234,"UP",NA,NA
"ENSG00000105552",178364.533535765,-0.43675800267318,0.170194471916077,-2.56622907757278,0.0102810904653593,0.158174563019088,"DOWN","BCAT2","587"
"ENSG00000125878",4633.18483217548,-0.780179010097244,0.304019630745548,-2.56621260996867,0.0102815786112319,0.158174563019088,"DOWN","TCF15","6939"
"ENSG00000261054",142236.746726063,0.823604514220606,0.321090504969333,2.5650229498355,0.0103168980901769,0.158615660650586,"UP",NA,NA
"ENSG00000100227",477821.354628817,-0.293547496909672,0.114484076969562,-2.56409017463379,0.0103446664684067,0.158777083839014,"DOWN","POLDIP3","84271"
"ENSG00000010318",26631.0965156878,0.491900063531455,0.191848713521679,2.56399980224975,0.010347360352444,0.158777083839014,"UP","PHF7","51533"
"ENSG00000270082",23318.6886445583,-0.585491815912777,0.228420438098268,-2.56321991493991,0.0103706337382985,0.159031935494564,"DOWN",NA,NA
"ENSG00000111331",66720.785701055,0.665854220160787,0.259847265158246,2.56248307926306,0.0103926651619125,0.159080722375526,"UP","OAS3","4940"
"ENSG00000147123",384285.398890655,-0.324414093437716,0.126609536727821,-2.56231956787841,0.0103975598032438,0.159080722375526,"DOWN","NDUFB11","54539"
"ENSG00000255949",26005.8155595586,-0.33901903809781,0.132319018412222,-2.56213386530455,0.0104031212156745,0.159080722375526,"DOWN",NA,NA
"ENSG00000258708",12937.5271874104,0.673832391401427,0.263005159932101,2.56205008135729,0.0104056312399838,0.159080722375526,"UP","SLC25A21-AS1","100129794"
"ENSG00000232593",4820.92691337268,0.591317272860553,0.230824298516848,2.56176354335327,0.0104142195036862,0.159080722375526,"UP",NA,NA
"ENSG00000268189",164542.760398013,-0.512050366497374,0.199919352250835,-2.56128464169349,0.0104285874695451,0.159080722375526,"DOWN",NA,NA
"ENSG00000273073",5828.20804474104,-0.802772432165021,0.31342685363883,-2.56127521571613,0.0104288704437987,0.159080722375526,"DOWN",NA,NA
"ENSG00000272267",6520.09401641608,0.584683264534331,0.228308495187557,2.56093521204286,0.0104390821541676,0.159080722375526,"UP",NA,NA
"ENSG00000224358",1479.47516916704,0.915601209009993,0.357560866357125,2.56068629192633,0.0104465638900566,0.159080722375526,"UP",NA,NA
"ENSG00000186615",7229.91272612651,0.446273139687756,0.174280055129452,2.56066673467755,0.0104471519199719,0.159080722375526,"UP","KTN1-AS1","100129075"
"ENSG00000228237",3735.61106060059,0.895341107679781,0.349820806168928,2.55942783245266,0.0104844622010011,0.159343791451011,"UP","EFCAB14-AS1","100130197"
